iid	sex	age	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1000_1001	1	73	0.00246488	-6.55524e-4	0.00225637	-0.00110316	-4.99096e-4	0.00297406	-0.00684348	-0.0107823	-6.07055e-5	0.00161532
1001_1002	1	57	-0.00147319	1.61982e-4	6.28394e-5	-0.00583302	1.4653e-4	0.00408528	-0.00612596	-1.20043e-4	-0.00223265	0.00228852
1002_1003	0	73	-0.0028196	-0.00173581	0.00111456	-0.00141621	-4.57573e-5	0.00257408	-0.0014084	0.00445213	-0.00135366	-0.00499375
1003_1004	1	58	-0.00201517	5.01038e-4	0.00377383	-6.48323e-5	-0.00136935	1.76272e-4	-8.03952e-4	-0.0129956	-0.00380214	0.00134307
1004_1005	1	74	-5.93129e-4	-0.0023327	0.00220819	-0.0023236	-0.00376141	0.00126831	-0.00105139	0.00179106	-0.00279475	0.001683
1005_1006	0	66	-0.00104285	7.44807e-4	5.02786e-6	-0.00307017	-0.00108932	0.00136456	-0.00149197	0.00167048	-0.0057578	-0.00122592
1006_1007	0	73	-0.00206191	-2.67469e-4	0.00138731	-9.51534e-4	-6.46475e-4	6.78909e-4	-0.00525998	0.00288625	-0.0031901	-5.56807e-4
1007_1008	1	75	-7.40293e-4	5.64957e-4	0.00101435	-0.00156628	-3.34928e-4	0.00150631	-0.00137565	-0.00341572	-0.00168246	0.00151114
1008_1009	0	71	4.30565e-4	-0.00130891	0.00280731	-0.00485643	-0.00147046	-0.00179909	0.0118609	6.93035e-4	0.0118996	0.0148314
1009_1010	1	72	-0.00234245	-5.34331e-4	0.00392161	-0.00131759	3.42168e-4	0.0016267	-0.00465401	0.00107981	-1.91176e-4	-0.00295695
1014_1015	1	70	-0.0028453	-0.00105438	0.00228766	-0.00331378	-5.31938e-4	0.00281496	-0.00452545	-1.09316e-4	-5.13714e-4	0.0036431
1016_1017	0	68	-0.00151684	-0.00221796	-3.02489e-4	-8.84341e-4	-0.00197188	0.00536255	-0.00410889	-9.0208e-5	0.00378632	0.00386002
1018_1019	1	68	-0.00249336	-0.00163189	0.00125593	-0.00238143	-0.00206806	0.00407564	-0.00254213	0.00125483	0.00197199	-3.3149e-4
1019_1020	0	69	-0.00178496	-9.72374e-5	0.00173143	-0.00218872	-0.00223442	0.00170605	-0.00262096	7.33938e-4	-0.00141171	0.00122665
1021_1022	1	75	-0.00223799	-0.00199331	7.89172e-4	-8.97734e-4	-0.0013038	2.1965e-4	-0.00262264	0.00366942	-0.00257919	-0.0012118
1023_1024	1	60	-0.00314383	-0.00111347	0.00110156	-8.42698e-4	-9.09982e-4	0.00541637	-0.00128919	-0.00254895	0.00158474	-0.00272501
682_683	0	73	-0.00108562	-0.00118806	0.00233252	-0.00294358	-0.00197558	0.00368181	-0.00559692	0.0049554	-7.32802e-4	0.00424695
683_684	0	78	-8.13713e-4	-0.00170033	-0.00271335	-0.00264783	-0.00313386	8.40623e-4	-0.00165778	-0.00291525	0.0033633	3.31199e-4
684_685	1	75	-0.00168089	-0.00097897600000000011	5.55512e-4	0.00107767	-0.00103425	-6.56097e-4	-0.00274575	-0.00114248	0.00608006	-0.001685
685_686	1	75	-5.34732e-4	-0.00348998	0.00248417	-7.1447e-4	6.89856e-4	-0.00156408	-0.00335859	0.00384833	0.00127464	0.00257148
686_687	0	69	0.0010917	-8.1703e-4	-2.97675e-4	-0.0015416	3.94533e-4	-0.00411096	0.0022146	-0.00204513	-0.00135548	-0.00609384
687_688	1	63	-0.00165905	-7.50636e-4	0.00150723	-0.00325665	-0.00302367	0.00436024	-0.00196256	3.77e-4	-0.00298392	-6.18553e-4
688_689	0	66	1.48977e-4	-0.00222667	0.00130912	-2.33557e-4	0.00160901	-9.89608e-4	-2.50298e-4	0.00223889	-0.00313448	-0.0014984900000000001
689_690	0	59	-0.00238047	-0.00171993	-7.39923e-4	-7.61062e-4	-5.02401e-4	-2.67786e-4	0.00408804	-5.14504e-4	-0.00476294	0.00259157
690_691	0	68	-8.49349e-4	0.00339032	0.00222583	-0.00129757	0.00220084	6.43532e-5	-0.00468282	3.14952e-4	0.00145049	0.0056675
691_692	0	66	4.10265e-5	-0.00176988	0.00162456	9.79111e-4	-6.1549e-4	0.0035513	-0.00350671	-5.63537e-4	-0.00307237	6.87381e-4
692_693	1	62	-0.00171035	-0.00166639	0.00283007	0.00133393	-0.00236524	0.0026343	-0.00421544	0.00259072	-0.00528417	-0.00295624
693_694	1	88	0.00330516	0.0170026	-0.00349376	0.00276274	0.0177543	-0.00761183	0.00452503	-0.00787033	0.0581551	-0.00398747
802_803	0	70	0.00209213	-0.00107996	3.07093e-4	-0.00100318	-2.77095e-4	-0.0105058	0.00885773	0.0048335	-0.0023182	-0.00302807
803_804	1	54	-0.00128178	-0.00281722	0.00189141	-0.00164429	-1.1507e-4	0.0026432	2.12734e-4	0.00348375	0.0018926	-9.73443e-4
804_805	0	53	-0.00115044	-8.97533e-4	0.00268064	-1.01226e-4	1.15907e-4	-0.00258248	0.00482106	0.00145407	5.53589e-4	0.00272713
805_806	0	57	-4.97717e-4	-0.00272947	0.00136649	-8.7396e-4	-0.00203251	2.67813e-4	-0.00283146	-0.00124128	-3.81084e-4	-0.00256981
806_807	0	49	-2.45981e-5	7.86117e-4	0.00171694	-0.00176424	-0.00294962	0.00154848	-0.00657461	-0.00262593	-0.00220776	6.13102e-5
807_808	1	35	-0.00150039	-0.00203852	0.00210697	-0.00107651	-0.00211231	-4.10445e-4	-5.08831e-4	6.65927e-4	0.00624086	-0.00940674
808_809	1	40	-0.00250191	9.65284e-4	5.07362e-4	-1.90128e-5	-0.00149776	0.00102124	-0.00267008	5.48985e-4	-0.00235841	-0.00065515599999999995
809_810	1	49	-3.1341e-4	3.37971e-4	0.00242615	4.84635e-4	-0.00415288	0.00164006	-0.00264305	-0.00110735	3.22604e-4	-0.0010172
810_811	1	77	-0.00218486	-7.08191e-4	0.00129319	-0.00324665	7.11823e-4	6.65719e-4	-0.00465205	-8.45607e-4	-0.00238471	0.00210328
811_812	0	50	-0.00142892	-9.06757e-4	6.59126e-4	5.71158e-4	6.94511e-4	-0.001279	0.00115512	-2.62793e-5	0.00114653	0.0027679
812_813	1	51	-3.47515e-4	0.00803166	-0.00410461	0.0401862	-0.00130358	-7.77203e-4	0.00180868	-0.0275989	0.0022014	0.00605762
823_824	1	75	-0.00118326	-0.00131678	0.00195322	-3.93366e-4	0.00226237	0.00423148	-0.00685853	4.36013e-4	-0.00360208	0.00325101
824_825	0	66	-0.00275106	-7.51145e-4	0.00174697	-9.7128e-4	-0.00156348	0.00286478	-0.0039083	-0.00136437	-0.00260549	-0.00164316
825_826	1	65	-0.00217539	0.00162622	0.0013352	1.00266e-4	-5.94885e-4	0.00427958	-0.00344962	-0.00377096	-2.34266e-4	2.95841e-6
826_827	1	69	-0.00187033	-0.00346704	5.94347e-4	-0.00361719	-0.00323605	-4.37337e-5	-0.00154934	2.8715e-4	2.23488e-4	0.00596066
827_828	0	71	-0.00277431	-0.00248958	-6.78866e-4	-1.62334e-4	-0.00174856	0.0015574	-0.00823966	0.00115544	9.81524e-4	0.0013738
829_830	0	66	-0.00257855	-0.00232992	7.66213e-4	-0.00217761	-0.00111084	0.00243611	-0.00274336	0.00134512	5.68059e-4	0.00186575
830_831	1	68	-0.0030738	4.83552e-4	1.41799e-4	-0.0033565	-0.00331993	2.94761e-4	-0.00132997	-0.0044977	-0.00141104	0.00111211
831_832	1	68	-0.00189678	4.30767e-4	3.58246e-4	-0.00153096	-0.00215453	-6.54296e-4	-0.00242588	-0.00114738	0.00162097	-0.00181887
832_833	1	71	7.80487e-4	-0.00218955	-3.14516e-4	2.36046e-4	3.40369e-4	-0.0132858	-6.10272e-4	2.40688e-4	-0.00262201	-0.00231242
834_835	0	64	-8.50827e-4	-0.00104724	-3.2264e-4	-0.00107397	-0.00135775	3.02339e-4	-4.54891e-4	1.54434e-5	-0.00321396	0.00194965
835_836	1	64	-0.00381278	4.11012e-4	0.0012603	-5.03129e-4	-7.51682e-4	0.00727876	-0.00866319	0.00187213	-0.0077159	0.00187162
836_837	0	72	-0.00229153	-2.32808e-4	0.00245385	-8.54404e-4	-0.00215407	0.00264754	-0.00440441	-1.40471e-4	0.00119744	-0.00694328
842_843	1	75	-8.41616e-4	7.00184e-4	0.00200336	-0.00180129	-0.00552786	0.00429985	-0.00366241	-0.00699178	-0.00371292	-0.00416916
843_844	0	62	-1.99306e-4	-9.0351e-4	0.00333453	-0.00318172	-0.00366974	0.00287359	0.00167655	0.0024641	0.00354477	0.0043696
845_846	0	81	0.0198284	-0.00240319	-1.04853e-5	0.00139987	1.17715e-5	-0.00116942	0.00756484	-0.00955343	-0.0010426	-0.0022465
846_847	1	77	-0.00244378	-0.00383988	0.00260408	-6.22912e-4	-0.00203263	0.00102486	-7.83649e-4	0.00410882	-0.00196946	-6.36557e-5
847_848	1	74	4.39967e-4	-8.76613e-4	0.00240163	1.71811e-4	0.00249043	-3.10408e-4	-2.429e-4	8.28375e-5	-0.00143447	-0.00121776
848_849	1	84	-0.00214138	-0.00279734	0.00145969	-0.00307529	-0.00263535	0.00113999	-0.00153847	0.00514891	-0.00531363	0.00134595
849_850	1	81	0.00118821	2.62482e-4	0.00284073	3.97399e-4	-0.00113797	0.00145777	-0.00132471	-8.2669e-4	-0.00273095	-0.0028765
850_851	0	64	1.55287e-5	-0.00171339	0.00162554	-0.00153902	-7.43587e-4	0.00499241	-0.00281175	-0.00172662	9.41494e-4	0.00303495
851_852	1	66	-3.39197e-4	-0.00262303	0.00135466	-9.19251e-4	-0.00380728	9.99234e-4	-0.00193502	-0.00195554	0.00219204	-9.37275e-4
852_853	1	65	-7.18167e-4	-0.001996	7.68712e-4	-0.00207373	-0.00377003	0.00175297	1.54886e-4	-0.00147011	0.00184079	3.53254e-4
853_854	1	59	-0.00231809	-5.98177e-4	0.00111954	-0.00092794800000000005	-0.00286525	0.00597184	-0.00239621	-2.99747e-4	-0.00351265	-8.91889e-4
854_855	0	74	-0.00247741	-6.49641e-4	0.0040114	-7.25263e-4	-7.82845e-4	4.97978e-4	-0.00131929	9.03151e-4	-0.00240843	-6.87027e-4
855_856	1	22	-1.63913e-4	-9.60569e-4	0.003077	-3.44228e-4	0.00329648	-0.00143862	5.74423e-4	0.00448102	-0.00153005	0.00500383
856_857	1	60	-7.39578e-4	-0.00228513	0.00281011	-0.00135969	-0.00175737	0.00259067	-6.98976e-4	-0.00241871	0.00231669	1.6261e-4
857_858	1	59	-0.00434727	-9.12574e-4	0.00241243	2.92581e-4	-0.00136203	0.00326236	-0.0037865	0.00487302	-0.00305507	-0.00379234
858_859	1	53	-0.00396082	-0.00121715	0.00373542	-3.75114e-4	-5.04516e-4	0.00171942	-0.00337024	-0.00103773	7.03878e-4	0.00265103
859_860	1	46	-0.00311101	-0.00115315	0.00209131	-0.00207307	-0.00324736	0.00551529	-0.00507128	9.02524e-4	-0.00257573	-8.8689e-4
860_861	1	49	-0.0020373	-0.00217879	0.00226169	0.00178837	-0.00273227	0.00285963	-0.00302885	0.00145491	3.47486e-4	0.00114506
861_862	1	67	0.00326251	-0.00361863	-2.58574e-4	8.62579e-4	-0.00156254	5.8411e-4	-0.00270321	0.00351617	-0.00184117	-0.00127782
862_863	1	45	0.0128403	0.00638679	-0.0389539	0.0222526	0.0133243	-0.166472	0.387824	0.0460711	0.0121013	-0.872675
863_864	0	69	-4.94197e-4	-1.06068e-6	2.61767e-4	-2.45536e-4	-0.00592859	0.0018865	-0.00140626	0.00108274	0.00136493	0.00183296
864_865	1	61	-0.00151627	-0.00219503	0.00154189	-0.00164944	4.06391e-4	0.00111917	8.87773e-4	5.75737e-4	7.24446e-4	6.28603e-4
865_866	1	66	0.994926	-0.0327445	0.0215678	-0.0319251	-0.00553393	0.0338001	-0.0174356	0.0241467	-0.00595284	0.00371496
890_891	1	65	-0.00123137	-0.00190032	1.85324e-4	9.44043e-4	0.00247989	0.00144349	-0.00561228	0.00221158	2.69712e-4	0.00326216
891_892	1	57	0.00304322	-2.24024e-4	-7.17146e-4	6.0187e-4	-9.31174e-4	-0.0046647599999999996	0.0095595	9.60147e-4	1.35886e-4	-0.00107812
892_893	1	79	-4.85422e-4	-8.85326e-4	0.00280833	-0.00268322	-0.00295491	7.11539e-4	-7.86514e-4	0.00152101	-0.00175154	0.0074456
893_894	1	67	2.9177e-4	-0.00163741	4.72066e-4	0.00638012	0.00757849	-8.42766e-4	0.00243215	-0.00505537	-0.0024686	-0.00230107
894_895	0	75	-0.00193948	-3.12298e-4	0.00101857	-0.00389353	-0.00148411	0.00551826	-9.75484e-4	-0.00319933	-0.00234895	0.00179367
896_897	1	64	-9.23183e-4	-0.00103382	3.32914e-4	-0.00346542	-1.07195e-4	0.00139932	0.00317443	0.00223931	-1.45019e-4	0.00164541
898_899	1	63	-7.7043e-4	-0.00126517	0.00161191	-0.0049614	-0.00236138	0.00400974	-0.00455825	0.00260066	-0.00143758	3.45208e-4
899_900	1	91	-0.00132498	-0.00145796	0.00186404	0.0010699	-0.00518727	0.00518757	-0.00353256	-0.00121378	1.81383e-5	7.00695e-4
986_987	0	69	0.00515866	-0.00196741	-3.54782e-4	-7.11886e-4	-0.00170997	9.88439e-4	0.00556313	-0.00601448	0.0015212	0.00356655
987_988	1	74	-3.23551e-4	-0.00141247	-1.52202e-4	-0.00403682	0.00186704	9.69894e-4	5.39461e-4	-4.30904e-4	-9.9026e-4	5.79164e-4
988_989	1	81	-9.70935e-4	-0.00182388	-0.00234684	-5.98301e-4	0.00189262	0.00112967	-0.00169619	0.00381837	-0.00304125	-0.00153067
989_990	0	61	-0.0024378	-0.0013606	-1.71282e-4	-8.3658e-4	-0.00146209	0.00241944	0.00100745	0.00292128	-2.01099e-4	0.00458797
991_992	1	76	-0.00187729	-0.00197362	0.00347869	-0.0024117	-0.00226924	0.00457902	-0.00702756	0.002278	-0.00185142	-0.00237706
992_993	1	63	-0.00203712	-3.30186e-4	0.0016212	5.43159e-5	4.8254e-4	0.00222353	-0.0024467	-6.94139e-4	-0.00239981	0.00263514
993_994	0	69	0.00104376	-0.00154615	5.7441e-4	6.26004e-5	9.80349e-4	0.0034666	4.83755e-4	1.46652e-4	5.34917e-4	-1.47829e-4
994_995	1	66	0.010001	0.00430026	-0.00762494	0.00954253	0.00772889	-0.0563349	0.116127	0.00172654	-0.00227481	-0.0143833
995_996	1	71	-0.001003	-0.00128801	0.00289886	-0.0048885	-0.00260584	0.0018974	-0.00397231	1.09119e-4	0.00243167	0.00158511
996_997	1	68	-0.00133732	-3.97337e-6	0.00309389	0.00131434	-6.26645e-4	0.0040805	-0.00455386	0.00231094	8.01392e-4	0.00106918
997_998	0	68	-0.00214575	-4.66625e-4	-0.0020271	-0.00269231	-0.00395427	9.5089e-4	-6.10541e-4	0.00131173	-0.00183652	-0.00225917
999_1000	1	62	-4.51063e-4	-9.40274e-4	5.35715e-4	-0.00302682	-0.00262188	0.00261392	0.00107874	-2.02539e-4	5.70656e-4	-0.00203106
