iid	eta
595_596	14.280860877337354
569_570	13.978721497967538
576_577	14.611078938623367
716_717	14.125010138241164
288_289	14.33538709833068
930_931	13.884853768075482
638_639	14.889688409045311
443_444	13.627123442807855
128_128	13.951511523681381
651_652	13.360143292651527
754_755	15.323319649963526
1029_1030	14.706471584347467
1010_1011	14.577971558501694
801_802	14.649170703159372
943_944	13.321325705346409
105_105	14.883246369972417
284_285	13.889426225914443
425_426	14.76364098401276
949_950	14.028637712242993
1026_1027	14.48476455630422
196_197	13.711835288148306
580_581	13.78271770180335
437_438	14.546842338174164
1031_1032	14.505178693659785
740_741	12.988605673459045
413_414	13.724199769920252
230_231	13.66470627270779
1034_1035	14.640078906189382
390_391	13.44486997546028
270_271	14.078182467411887
610_611	14.314144160164902
314_315	14.79085705811806
334_335	14.78624856519479
244_245	13.165411372545842
613_614	14.238993040622097
49_49	13.831449849828186
870_871	10.425134414933702
454_455	14.027249321215045
468_469	13.567997466866053
900_901	14.360342747891732
307_308	14.466236549306823
10_10	13.761567440103963
527_528	14.030494510107845
998_999	14.311759861468218
635_636	13.293780698522541
908_909	14.192179679479711
916_917	14.040601012831228
663_664	14.346277622920763
467_468	14.084132892109507
367_368	14.56203830304707
240_241	13.472052174951168
855_856	14.461541497563278
311_312	14.41263680619515
320_321	14.221370921282139
245_246	14.240424636068004
846_847	14.251753142904084
836_837	14.623543692801094
33_33	14.4244420862155
876_877	14.674175143099088
65_65	13.916206210044937
178_179	14.0789058292231
720_721	13.843658656893775
1005_1006	14.408920825176667
805_806	13.91251929440418
420_421	14.730973347188485
734_735	15.06491130910769
732_733	14.568898757362675
488_489	14.396462250906117
966_967	13.72252537326295
384_385	14.31881778931614
209_210	13.047754048823244
335_336	13.272375218327726
645_646	14.1804272452386
130_130	14.577542737526477
293_294	14.31089924293312
735_736	14.918890463464251
918_919	13.822016349335565
155_155	14.032412269464116
940_941	12.380718989758835
483_484	14.082884560405224
738_739	13.292725369519372
441_442	14.802768477746126
35_35	13.477954534257949
212_213	13.73698994132224
291_292	14.16668419743838
560_561	14.257896300173337
956_957	14.613974953244574
762_763	14.83315029011671
960_961	13.767502387957691
470_471	13.017333918052428
365_366	14.793780664151386
548_549	14.38580342816377
567_568	14.686618551078677
238_239	13.84125627438269
603_604	13.829239878048522
938_939	13.153871734339234
769_770	13.835724865214514
141_141	13.85843019090196
429_430	13.693827552301507
891_892	14.968296904300711
