iid	sex	age	PC1	PC2	PC3	PC4	PC5	PC6
691_692	0	66	-0.0119069	-3.85135e-4	0.0137538	-0.0195596	-0.0248901	0.00982051
693_694	1	88	0.0155524	0.0142261	-0.00798635	-0.0180714	-0.0254773	0.0482558
688_689	0	66	0.0590689	0.018396	-0.08133	-0.0466154	0.0253901	0.084852
683_684	0	78	-0.00546305	-0.00238968	-5.76745e-4	-0.00756667	-0.0228901	7.04959e-5
684_685	1	75	0.00406935	-0.0174145	0.0191665	0.0174039	0.0237432	-5.26182e-4
686_687	0	69	0.0678609	0.00145193	-0.0297468	-0.0313233	0.0329481	0.0435946
689_690	0	59	0.00776187	0.016982	-0.033197	0.0152589	-0.0409407	0.030593
687_688	1	63	-0.0197998	0.0336337	0.019143	-0.0153279	-0.0395374	0.00716731
690_691	0	68	-0.0350661	-0.0257963	-0.0109623	-0.0137132	0.0106768	0.0185996
685_686	1	75	0.0235167	-0.0190964	0.00430494	0.00121843	-0.0336675	-0.0108451
692_693	1	62	-0.0208862	0.0312086	0.00751093	0.00924034	3.10086e-4	-0.00153168
682_683	0	73	-0.00682209	-0.00365544	-0.0171183	-0.0311756	-0.00297504	0.0103609
825_826	1	65	-0.00401692	0.0214221	-0.0206453	-0.00457261	-0.00849885	0.00185149
823_824	1	75	-0.0307401	0.068123	0.111481	-0.0560803	-0.00719822	-0.0543395
829_830	0	66	-0.0084811	0.00703918	5.92048e-4	-0.0141304	-0.00726906	0.0302362
832_833	1	71	0.0490409	0.0201405	0.00234356	-0.0241749	-0.0326117	-0.0225849
831_832	1	68	-0.00261554	0.0130945	-0.0144745	-0.0130616	0.0279118	-0.00224686
827_828	0	71	-0.00125598	-0.00302693	-0.0469192	-0.0285109	-0.0192523	0.00120701
830_831	1	68	-0.0178014	-0.0169965	0.0070618	0.00871775	0.0436917	-0.0405092
824_825	0	66	-0.0114605	-0.00454349	-0.0156319	-0.0124657	0.025376	0.00779137
842_843	1	75	-0.0172061	-0.0365812	6.71812e-4	-0.0265322	0.0260694	-0.0145073
843_844	0	62	-0.00551415	-0.0357016	0.00423828	-0.0170235	0.0204912	-0.0148577
826_827	1	69	0.0183947	0.0227149	-0.0496585	-0.0436876	-0.0109724	0.0159165
847_848	1	74	0.0114476	0.00962493	-0.0208274	0.0206626	0.033687	0.0208058
836_837	0	72	-0.0249484	-0.0191691	0.00917999	-0.00398323	0.0129704	0.0218206
990_991	1	69	-0.0221625	-0.0197385	0.059453400000000003	-0.00175701	-0.0173176	-0.0544507
835_836	1	64	-0.0374713	-0.0305918	-0.0200401	-0.029458	0.0211448	0.0109688
848_849	1	84	0.00347272	-0.00919436	-3.09175e-4	-0.0459882	-0.0307769	0.010844
989_990	0	61	-0.017905	-0.0188424	9.5779e-4	-0.00709495	-0.00792313	0.0138035
997_998	0	68	-0.002971	-0.00665054	0.0290104	-0.0236158	0.00306626	-0.0510105
834_835	0	64	0.0132135	-0.0114114	-0.0187779	-0.00462882	0.0141407	0.0406461
849_850	1	81	0.00183983	-0.0276233	-0.0257957	-0.00755697	-5.49951e-4	0.0065243
985_986	1	76	0.00618192	0.00770378	-0.0154747	-0.0267524	0.0411371	-0.00978697
851_852	1	66	0.013363	0.0140511	-0.0115339	-0.00131528	-0.016914	0.0114519
845_846	0	81	0.0651359	-0.0194497	0.0355863	-0.0157391	0.0166201	-0.00729235
850_851	0	64	-0.00780551	0.00584799	1.83316e-4	-6.65579e-4	-0.0422449	0.0259861
846_847	1	77	0.00788635	0.00947165	-2.1414e-4	-0.0284554	-0.0237548	-0.00641233
852_853	1	65	4.03567e-4	0.0274746	0.00782389	-0.00409798	-0.00499722	0.0338636
999_1000	1	62	0.00363466	-0.0104828	-0.0255185	-0.0164754	-0.041915	-0.00592052
